Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/StructureDefinition-DIPSOrganization.json	32922	6	0	170	0	0	0	0	2	86	0	0	1	0	0	0	0	2	0	0	17998	2737	0	1	0	66	0	2
fsh-generated/resources/StructureDefinition-DIPSOrganizationReference.json	1251	0	0	13	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	745	1040	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-DIPSPatient.json	14577	3	0	229	0	0	0	0	0	89	0	0	0	0	0	0	0	2	0	0	10245	2735	0	0	0	43	0	1
fsh-generated/resources/StructureDefinition-DIPSPatientContactIdentifier.json	1040	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	603	1107	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DIPSPatientContactPractitionerRoleName.json	1071	0	0	3	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	615	1230	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DIPSPerson.json	13892	2	0	108	0	0	0	0	0	31	0	0	2	0	0	0	0	1	0	0	6273	2093	0	0	0	23	1	1
fsh-generated/resources/StructureDefinition-DIPSPersonDeathComment.json	998	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	1133	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DIPSPersonDeathRegisteredBy.json	1018	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	1324	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DIPSPersonDeathRegisteredTime.json	1028	0	0	3	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	354	1378	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-DIPSPersonHospitalSectorId.json	1010	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362	1258	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DIPSPersonHospitalSectorName.json	1022	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	1524	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DIPSPersonLanguage.json	982	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	357	1418	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DIPSPersonLastOfficialAddressSyncTime.json	1068	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	849	1532	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DIPSPersonMunicipality.json	1015	0	0	3	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	650	1365	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DIPSPersonStateName.json	994	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	690	1288	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DIPSPractitioner.json	4332	2	0	57	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	7825	2246	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-DIPSPractitionerReference.json	580	0	0	8	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	562	1478	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DIPSPractitionerRole.json	20990	3	0	198	0	0	0	0	0	52	0	0	0	0	0	0	0	2	0	0	17354	6130	0	0	0	21	1	1
fsh-generated/resources/StructureDefinition-DIPSPractitionerRoleCommunicationProtocol.json	1336	2	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	854	1276	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DIPSPractitionerRoleCommunicationType.json	2699	0	0	11	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1310	1701	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-DIPSPractitionerRoleCommunicationTypeId.json	1066	0	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	480	1332	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DIPSPractitionerRoleDipsSignature.json	1444	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	727	1710	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-DIPSPractitionerRoleHcpRoleName.json	1436	0	0	6	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	590	1636	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DIPSPractitionerRoleHealthCarePartyDepartment.json	1894	0	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1208	1560	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DIPSPractitionerRoleHealthCarePartyType.json	792	2	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	562	1762	0	0	0	1	0	0
